,0
1261,4 beds
1262,3.5 baths
1263,"3,400 sqft"
1264," $5,400,000  "
1265, 06/05/18  
1266,Single Family
1267,1936
1268,No Data
1269,No Data
1270,2 spaces
1271,"1,934 sqft"
1272,"5529 Anza St, San Francisco, CA 94121 "
1273,3 beds
1274,3.5 baths
1275,"3,935 sqft"
1276," $3,040,000  "
1277, 06/05/18  
1278,Single Family
1279,1987
1280,No Data
1281,No Data
1282,Attached Garage
1283,"2,818 sqft"
1284,"1849 Jefferson St, San Francisco, CA 94123 "
1285,2 beds
1286,2.25 baths
1287,"1,500 sqft"
1288," $2,945,000  "
1289, 06/04/18  
1290,Single Family
1291,1927
1292,No Data
1293,No Data
1294,3 spaces
1295,"3,436 sqft"
1296,"208 States St APT 3, San Francisco, CA 94114 "
1297,1 bed
1298,1 bath
1299,569 sqft
1300," $1,100,000  "
1301, 06/04/18  
1302,Condo
1303,1904
1304,No Data
1305,No Data
1306,None
1307,$100/month
1308,"625 Grand View Ave, San Francisco, CA 94114 "
1309,4 beds
1310,4 baths
1311,"2,654 sqft"
1312," $3,100,000  "
1313, 06/04/18  
1314,Single Family
1315,1954
1316,No Data
1317,No Data
1318,1 space
1319,"3,125 sqft"
1320,"842 43rd Ave, San Francisco, CA 94121 "
1321,3 beds
1322,4 baths
1323,"2,182 sqft"
1324," $1,950,000  "
1325, 06/04/18  
1326,Single Family
1327,1924
1328,No Data
1329,No Data
1330,3 spaces
1331,"3,000 sqft"
1332,"1015 Castro Street, San Francisco, CA 94114 "
1333,4 beds
1334,3 baths
1335,"2,060 sqft"
1336," $2,400,000  "
1337, 06/04/18  
1338,Multi Family
1339,No Data
1340,No Data
1341,No Data
1342,No Data
1343,No Data
1344,"591 Clipper St, San Francisco, CA 94114 "
1345,2 beds
1346,1 bath
1347,-- sqft
1348," $1,600,000  "
1349, 06/04/18  
1350,Single Family
1351,1921
1352,Forced air
1353,Central
1354,1 space
1355,"2,735 sqft"
1356,"1306 45th Ave, San Francisco, CA 94122 "
1357,2 beds
1358,1 bath
1359,"1,030 sqft"
1360," $1,390,500  "
1361, 06/04/18  
1362,Single Family
1363,1940
1364,No Data
1365,No Data
1366,No Data
1367,"1,873 sqft"
1368,"333 Cherry St # B, San Francisco, CA 94118 "
1369,Studio
1370,1 bath
1371,385 sqft
1372," $537,500  "
1373, 06/04/18  
1374,Condo
1375,1908
1376,No Data
1377,No Data
1378,"On street, Attached Garage"
1379,No Data
1380,"1540 Lombard St UNIT F, San Francisco, CA 94123 "
1381,2 beds
1382,1 bath
1383,866 sqft
1384," $1,100,000  "
1385, 06/04/18  
1386,Condo
1387,1947
1388,Radiant
1389,No Data
1390,1 space
1391,$561/month
1392,"1822 42nd Ave, San Francisco, CA 94122 "
1393,3 beds
1394,2 baths
1395,"1,509 sqft"
1396," $1,400,000  "
1397, 06/04/18  
1398,Single Family
1399,1944
1400,Forced air
1401,Central
1402,No Data
1403,No Data
1404,"1662 42nd Ave, San Francisco, CA 94122 "
1405,-- beds
1406,1 bath
1407,"1,150 sqft"
1408," $1,252,000  "
1409, 06/04/18  
1410,Single Family
1411,1941
1412,No Data
1413,No Data
1414,No Data
1415,"3,000 sqft"
1416,"4428 23rd St, San Francisco, CA 94114 "
1417,2 beds
